,id,symbol,order_id,side,qty,closed_size,cum_entry_value,avg_entry_price,cum_exit_value,avg_exit_price,,closed_pnl,fill_count,leverage,created_at,Buy,287.389026,,,,
0,96564091,ETHUSDT,e6a36fd5-ca64-47b8-9207-41d42355aec0,Buy,7.67,7.67,29621.1565,3861.95,29706.677,3873.1,Sell,-113.501249,1,50,2021/10/20 6:00 PM,Sell,313.820161,,,,
1,96394981,ETHUSDT,8c753603-8bd0-4854-a555-6e4c93cace91,Buy,9.02,9.02,34493.833,3824.15,35015.64,3882,Sell,-516.8119813,1,50,2021/10/20 6:47 AM,,,,,,
2,95998603,ETHUSDT,76a1860a-e5b9-46b4-8b17-511d3c2d1fc3,Sell,5.43,5.43,20379.0615,3753.05,20765.1345,3824.15,Buy,347.4149845,3,50,2021/10/19 2:00 PM,,,,,,
3,95722583,ETHUSDT,83abe276-c391-4a73-9e0f-66b270e2c3ad,Sell,5.97,5.97,22775.0795,3814.92,22406.9025,3753.25,Buy,-402.0634865,3,50,2021/10/18 11:17 PM,,drawdown ,3%,,earn ,0.05%
4,95681774,ETHUSDT,9855f2b6-aa3f-4a87-8eec-b385e4e62914,Buy,8.25,8.25,31823.1375,3857.35,31432.5,3810,Sell,351.794954,1,50,2021/10/18 10:00 PM,,,,,,
5,95352564,ETHUSDT,790ede20-9982-43b3-b77d-35db428b2acc,Sell,3.91,3.91,14730.143,3767.3,15082.2385,3857.35,Buy,320.4868668,1,50,2021/10/18 12:00 PM,,,,,,
6,95125596,ETHUSDT,ba390eac-9464-4a39-9363-2aab4ec7a66a,Sell,5.07,5.07,19095.141,3766.3,18735.4245,3695.35,Buy,-388.0894241,2,50,2021/10/18 4:02 AM,,program error,,solved,,
7,95105484,ETHUSDT,b5916e3e-d7dc-4b88-a5df-47eb8c2d1d9c,Sell,6.66,6.66,25343.298,3805.3,25149.825,3776.25,Buy,-231.3428423,2,50,2021/10/18 3:40 AM,,drawdown ,4%,, earn,1%
8,95080690,ETHUSDT,dbadd597-93cd-4c72-a8a1-3808cc4afcb4,Buy,6.71,6.71,26115.991,3892.1,25537.9245,3805.95,Sell,556.3988982,1,50,2021/10/18 2:00 AM,,,,,,
9,94938883,ETHUSDT,7165d813-3c44-4f61-b91a-225d57f48987,Sell,7.44,7.44,28681.572,3855.05,28957.224,3892.1,Buy,215.0281075,2,50,2021/10/17 7:00 PM,,,,,,
10,94807913,ETHUSDT,35191d59-f75b-4137-9372-0e5f2dddbe8a,Sell,0.1,0.1,385.505,3855.05,385.995,3859.95,Buy,-0.088625,1,50,2021/10/17 10:55 AM,,,,,,
11,94806843,ETHUSDT,eba84362-8ce8-4e9b-82b5-da3d4d58373b,Buy,19.43,19.43,74854.3575,3852.51,74903.515,3855.04,Sell,-161.4759044,10,50,2021/10/17 10:48 AM,,error,,solved,,
12,94795947,ETHUSDT,edf2323d-936c-4551-bcfa-722498b77112,Buy,6.84,6.84,26560.6785,3883.14,26368.542,3855.05,Sell,180.5406912,2,50,2021/10/17 9:53 AM,,,,,,
13,94617386,ETHUSDT,d823e87b-6598-47ac-987f-5b122286d121,Buy,3.02,3.02,11795.969,3905.95,11778,3900,Sell,16.87475236,1,50,2021/10/17 12:16 AM,,,,,,
14,94486260,ETHUSDT,75fbf7b3-57c4-4050-bf8e-4787a6a7bbc8,Sell,6.21,6.21,24036.605,3870.63,24516.7695,3947.95,Buy,429.7044839,2,50,2021/10/16 8:30 PM,,,,,,
15,94161811,ETHUSDT,d04afb38-e6d6-4f6d-9eba-c0cfb41b4bfe,Sell,0.63,0.63,2450.685,3889.98,2450.7,3890,Buy,-3.66103875,1,50,2021/10/16 4:48 AM,,,,,,
